dish_name,recipe_version,ingredients,cooking_time_min,difficulty,calories,user_reviews,taste_rating,health_rating,overall_rating
Pasta Alfredo,Recipe A,"pasta, mint, spices, masala, rice, oil",10,Easy,183,88,3.7,3.7,3.2
Pasta Alfredo,Recipe B,"pasta, spices, ghee, garlic, curd, soy sauce",20,Medium,421,188,5.0,4.9,4.6
Pasta Alfredo,Recipe C,"pasta, cream, butter, coriander, masala, rice",45,Medium,435,154,3.8,3.9,3.3
Chicken Curry,Recipe A,"chicken, vegetables, spices, curd, butter, salt",30,Hard,230,297,3.3,2.7,4.9
Chicken Curry,Recipe B,"chicken, vegetables, coriander, spices, tomato, ghee",10,Easy,836,342,4.6,3.2,4.8
Chicken Curry,Recipe C,"chicken, curd, oil, butter, soy sauce, tomato",45,Hard,552,256,3.6,3.7,3.1
Veg Fried Rice,Recipe A,"veg, soy sauce, onion, vegetables, cream, lemon",57,Hard,702,465,4.8,2.9,5.0
Veg Fried Rice,Recipe B,"veg, mint, curd, butter, rice, herbs",21,Easy,713,280,4.0,4.8,3.1
Veg Fried Rice,Recipe C,"veg, tomato, curd, pepper, oil, cheese",13,Easy,844,443,4.8,3.5,4.8
Paneer Butter Masala,Recipe A,"paneer, butter, curd, masala, soy sauce, pepper",23,Medium,326,448,4.8,3.1,4.8
Paneer Butter Masala,Recipe B,"paneer, garlic, rice, pepper, vegetables, spices",53,Medium,298,298,4.0,3.8,4.9
Paneer Butter Masala,Recipe C,"paneer, onion, butter, cream, ginger, ghee",42,Hard,565,397,3.5,3.4,4.1
Chicken Biryani,Recipe A,"chicken, tomato, pepper, cheese, curd, lemon",51,Easy,647,381,3.4,4.5,4.1
Chicken Biryani,Recipe B,"chicken, ghee, curd, cheese, coriander, soy sauce",36,Hard,177,60,5.0,3.6,4.4
Chicken Biryani,Recipe C,"chicken, lemon, spices, pepper, basil, onion",27,Easy,561,292,3.9,2.6,3.8
Mushroom Soup,Recipe A,"mushroom, spices, herbs, vegetables, cream, oil",41,Hard,837,346,4.5,3.5,3.6
Mushroom Soup,Recipe B,"mushroom, coriander, curd, garlic, tomato, cream",35,Medium,785,475,4.1,3.4,3.2
Mushroom Soup,Recipe C,"mushroom, basil, ginger, garlic, cream, tomato",40,Easy,861,322,5.0,2.7,4.0
Egg Fried Rice,Recipe A,"egg, cream, cheese, onion, lemon, pepper",32,Medium,254,313,3.4,4.6,4.1
Egg Fried Rice,Recipe B,"egg, soy sauce, pepper, curd, vegetables, lemon",50,Hard,520,229,3.7,3.6,3.7
Egg Fried Rice,Recipe C,"egg, masala, coriander, salt, onion, curd",14,Hard,540,265,4.7,4.6,3.4
Masala Dosa,Recipe A,"masala, spices, curd, ginger, herbs, lemon",41,Hard,518,329,3.6,3.2,3.3
Masala Dosa,Recipe B,"masala, lemon, mint, onion, pepper, cream",50,Medium,799,460,3.0,3.2,3.1
Masala Dosa,Recipe C,"masala, rice, pepper, oil, herbs, lemon",35,Medium,674,252,4.6,2.8,3.3
Idli Sambar,Recipe A,"idli, rice, garlic, spices, basil, herbs",27,Easy,263,230,3.5,3.8,3.9
