Review ID,Phone Model,Review Text,Rating,Product Quality,Battery Life,Heating,Speed,Camera Quality
1,Samsung Galaxy Z Flip7,"Performance is smooth, apps run without lag.",4,Good,Good,Hot,Slow,Average
2,Samsung Galaxy M56,Battery lasts a full day but drains faster with gaming.,4,Good,Excellent,Warm,Fast,Excellent
3,Samsung Galaxy A36 5G,Speaker volume is low compared to other phones.,4,Good,Excellent,Warm,Average,Average
4,Samsung Galaxy M56,Battery lasts a full day but drains faster with gaming.,4,Good,Poor,Cool,Slow,Good
5,iQOO 12,"Display is bright and clear, great for videos.",4,Good,Average,Hot,Slow,Good
6,Samsung Galaxy Z Flip7,"Design is sleek, but charging speed is disappointing.",5,Good,Excellent,Hot,Fast,Excellent
7,Samsung Galaxy A36 5G,Excellent 5G connectivity and fast internet speeds.,2,Bad,Excellent,Hot,Slow,Average
8,Samsung Galaxy S25 Ultra,Speaker volume is low compared to other phones.,1,Bad,Average,Hot,Fast,Good
9,Samsung Galaxy Z Flip7,"Camera is outstanding, captures details even in low light.",3,Average,Excellent,Warm,Fast,Good
10,Samsung Galaxy A36 5G,"Value for money, but build feels a bit cheap.",2,Bad,Excellent,Warm,Fast,Average
11,iQOO 12,"Display is bright and clear, great for videos.",5,Good,Excellent,Warm,Average,Excellent
12,Samsung Galaxy S25 Ultra,Phone heats up during long video calls.,4,Good,Excellent,Cool,Slow,Good
13,iQOO 12,Phone heats up during long video calls.,4,Good,Average,Hot,Slow,Excellent
14,Xiaomi 15 Ultra,"Camera is outstanding, captures details even in low light.",1,Bad,Poor,Cool,Fast,Good
15,Vivo T2x 5G,"Performance is smooth, apps run without lag.",2,Bad,Average,Cool,Slow,Excellent
16,Samsung Galaxy Z Flip7,Speaker volume is low compared to other phones.,3,Average,Average,Cool,Slow,Good
17,Samsung Galaxy M56,"Display is bright and clear, great for videos.",5,Good,Poor,Warm,Average,Average
18,iPhone 15 Pro Max,Excellent 5G connectivity and fast internet speeds.,5,Good,Excellent,Cool,Slow,Excellent
19,Samsung Galaxy S25 Ultra,"Camera is outstanding, captures details even in low light.",3,Average,Poor,Warm,Slow,Excellent
20,OnePlus 13,"Display is bright and clear, great for videos.",5,Good,Good,Hot,Slow,Average
21,Vivo V27 5G,"Display is bright and clear, great for videos.",1,Bad,Good,Cool,Slow,Excellent
22,Xiaomi 15 Ultra,"Camera is outstanding, captures details even in low light.",4,Good,Good,Hot,Slow,Excellent
23,Vivo V27 5G,"Camera is outstanding, captures details even in low light.",3,Average,Average,Warm,Average,Average
24,Samsung Galaxy S25 Ultra,Excellent 5G connectivity and fast internet speeds.,3,Average,Good,Warm,Slow,Average
25,Samsung Galaxy A36 5G,Speaker volume is low compared to other phones.,2,Bad,Good,Hot,Slow,Good
26,Samsung Galaxy Z Flip7,"Camera is outstanding, captures details even in low light.",3,Average,Average,Cool,Fast,Excellent
27,Samsung Galaxy M56,Excellent 5G connectivity and fast internet speeds.,5,Good,Average,Cool,Fast,Excellent
28,iQOO 12,"Design is sleek, but charging speed is disappointing.",1,Bad,Good,Hot,Slow,Excellent
